PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30338442","GNE Myopathy: Etiology, Diagnosis, and Therapeutic Challenges","Carrillo N, Malicdan MC, Huizing M.","Neurotherapeutics. 2018 Oct;15(4):900-914. doi: 10.1007/s13311-018-0671-y.","Carrillo N","Neurotherapeutics","2018","2018/10/20","PMC6277305","","10.1007/s13311-018-0671-y"
"29720219","GNE myopathy: from clinics and genetics to pathology and research strategies","Pogoryelova O, González Coraspe JA, Nikolenko N, Lochmüller H, Roos A.","Orphanet J Rare Dis. 2018 May 2;13(1):70. doi: 10.1186/s13023-018-0802-x.","Pogoryelova O","Orphanet J Rare Dis","2018","2018/05/04","PMC5930817","","10.1186/s13023-018-0802-x"
"30374284","Fighting the Cause of Alzheimer's and GNE Myopathy","Devi S, Yadav R, Chanana P, Arya R.","Front Neurosci. 2018 Oct 15;12:669. doi: 10.3389/fnins.2018.00669. eCollection 2018.","Devi S","Front Neurosci","2018","2018/10/31","PMC6196280","","10.3389/fnins.2018.00669"
"28641925","Safety, pharmacokinetics and sialic acid production after oral administration of N-acetylmannosamine (ManNAc) to subjects with GNE myopathy","Xu X, Wang AQ, Latham LL, Celeste F, Ciccone C, Malicdan MC, Goldspiel B, Terse P, Cradock J, Yang N, Yorke S, McKew JC, Gahl WA, Huizing M, Carrillo N.","Mol Genet Metab. 2017 Sep;122(1-2):126-134. doi: 10.1016/j.ymgme.2017.04.010. Epub 2017 Apr 26.","Xu X","Mol Genet Metab","2017","2017/06/24","PMC5949875","NIHMS961123","10.1016/j.ymgme.2017.04.010"
"30390020","GNE myopathy in Chinese population: hotspot and novel mutations","Chen Y, Xi J, Zhu W, Lin J, Luo S, Yue D, Cai S, Sun C, Zhao C, Mitsuhashi S, Nishino I, Xu M, Lu J.","J Hum Genet. 2019 Jan;64(1):11-16. doi: 10.1038/s10038-018-0525-9. Epub 2018 Nov 2.","Chen Y","J Hum Genet","2019","2018/11/04","","","10.1038/s10038-018-0525-9"
"30192030","GNE myopathy in the bedouin population of Kuwait: Genetics, prevalence, and clinical description","Alrohaif H, Pogoryelova O, Al-Ajmi A, Aljeryan LA, Alrashidi NH, Alefasi SA, Urtizberea A, Lochmüller H, Bastaki L.","Muscle Nerve. 2018 Nov;58(5):700-707. doi: 10.1002/mus.26337. Epub 2018 Oct 3.","Alrohaif H","Muscle Nerve","2018","2018/09/08","","","10.1002/mus.26337"
"25976366","GNE Myopathy and Cell Apoptosis: A Comparative Mutation Analysis","Singh R, Arya R.","Mol Neurobiol. 2016 Jul;53(5):3088-3101. doi: 10.1007/s12035-015-9191-5. Epub 2015 May 15.","Singh R","Mol Neurobiol","2016","2015/05/16","","","10.1007/s12035-015-9191-5"
"25002140","GNE myopathy: current update and future therapy","Nishino I, Carrillo-Carrasco N, Argov Z.","J Neurol Neurosurg Psychiatry. 2015 Apr;86(4):385-92. doi: 10.1136/jnnp-2013-307051. Epub 2014 Jul 7.","Nishino I","J Neurol Neurosurg Psychiatry","2015","2014/07/09","PMC4394625","NIHMS663544","10.1136/jnnp-2013-307051"
"27023225","The Interaction of UDP-N-Acetylglucosamine 2-Epimerase/N-Acetylmannosamine Kinase (GNE) and Alpha-Actinin 2 Is Altered in GNE Myopathy M743T Mutant","Harazi A, Becker-Cohen M, Zer H, Moshel O, Hinderlich S, Mitrani-Rosenbaum S.","Mol Neurobiol. 2017 May;54(4):2928-2938. doi: 10.1007/s12035-016-9862-x. Epub 2016 Mar 29.","Harazi A","Mol Neurobiol","2017","2016/03/30","","","10.1007/s12035-016-9862-x"
"31286697","Progression of GNE Myopathy Based on the Patient-Reported Outcome","Park YE, Kim DS, Choi YC, Shin JH.","J Clin Neurol. 2019 Jul;15(3):275-284. doi: 10.3988/jcn.2019.15.3.275.","Park YE","J Clin Neurol","2019","2019/07/10","PMC6620453","","10.3988/jcn.2019.15.3.275"
